id	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	locationID	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision
BFSA:LTBCC:20050116:J2	BFSA:LTBCC:20050116:J2	BFSA:LTBCC:20050116	Line Transect	150	metre	40 observer-minutes	2005/1/16	09:20+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20050116:J3	BFSA:LTBCC:20050116:J3	BFSA:LTBCC:20050116	Line Transect	450	metre	40 observer-minutes	2005/1/16	09:20+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20050116:E1	BFSA:LTBCC:20050116:E1	BFSA:LTBCC:20050116	Total Count	12	hectare	180 observer-minutes	2005/1/16	10:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20050116:D1	BFSA:LTBCC:20050116:D1	BFSA:LTBCC:20050116	Total Count	20	hectare	80 observer-minutes	2005/1/16	13:10+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20050116:D2	BFSA:LTBCC:20050116:D2	BFSA:LTBCC:20050116	Total Count	20	hectare	62 observer-minutes	2005/1/16	13:59+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20050206:M1	BFSA:LTBCC:20050206:M1	BFSA:LTBCC:20050206	Total Count	98	hectare	60 observer-minutes	2005/2/6	15:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20050206:M2	BFSA:LTBCC:20050206:M2	BFSA:LTBCC:20050206	Total Count	83	hectare	60 observer-minutes	2005/2/6	15:00+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20050206:J2	BFSA:LTBCC:20050206:J2	BFSA:LTBCC:20050206	Line Transect	150	metre	40 observer-minutes	2005/2/6	09:00+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20050206:J3	BFSA:LTBCC:20050206:J3	BFSA:LTBCC:20050206	Line Transect	450	metre	70 observer-minutes	2005/2/6	09:25+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20050206:E1	BFSA:LTBCC:20050206:E1	BFSA:LTBCC:20050206	Total Count	12	hectare	140 observer-minutes	2005/2/6	10:20+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20050206:D1	BFSA:LTBCC:20050206:D1	BFSA:LTBCC:20050206	Total Count	20	hectare	40 observer-minutes	2005/2/6	13:00+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20050206:D2	BFSA:LTBCC:20050206:D2	BFSA:LTBCC:20050206	Total Count	20	hectare	40 observer-minutes	2005/2/6	13:50+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20050220:M1	BFSA:LTBCC:20050220:M1	BFSA:LTBCC:20050220	Total Count	98	hectare	45 observer-minutes	2005/2/20	14:30+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20050220:M2	BFSA:LTBCC:20050220:M2	BFSA:LTBCC:20050220	Total Count	83	hectare	20 observer-minutes	2005/2/20	15:20+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20050220:J2	BFSA:LTBCC:20050220:J2	BFSA:LTBCC:20050220	Line Transect	150	metre	160 observer-minutes	2005/2/20	08:30+0800	J2	23.0856	120.0366	WGS84	75	0.00001
